"","DHSCLUST","m0_1y_hiv","m0_1y_nonhiv","gt1_hiv","gt1_nonhiv","total_pop","m0_1y_hiv_rate","gt1_hiv_rate","allm0_1y_rate","all_hiv_rate","pop_rate"
"1",1,0,1.754327,5.45499,44.690214,51.899531,0,0.10510673015523,0.033802367115803,0.10510673015523,0.00329716254591062
"2",2,0,1.360365,6.936035,38.071955,46.368355,0,0.149585530907879,0.029338219999394,0.149585530907879,0.00294576849685766
"3",3,2.109869,10.678905,10.743685,66.571979,90.104438,0.0234158166548911,0.119235913773748,0.141932786928875,0.142651730428639,0.00572430949701503
"4",4,1.284201,6.351238,2.498635,52.192267,62.326341,0.0206044664165349,0.0400895505802274,0.122507416246367,0.0606940169967623,0.00395957484025922
"5",5,0.419351,2.096755,1.656944,7.047127,11.220177,0.0373747223417242,0.147675388721586,0.224248334050345,0.18505011106331,0.000712814675779783
"6",6,1.632366,6.629702,3.264732,61.199446,72.726246,0.0224453493722198,0.0448906987444395,0.113605038819136,0.0673360481166593,0.00462027786755688
"7",7,0,1.462206,2.436251,15.105414,19.003871,0,0.128197618264195,0.0769425344973137,0.128197618264195,0.00120731055717087
"8",8,1.06626,1.118858,5.541692,33.84303,41.56984,0.0256498461384504,0.133310400040029,0.052564984613845,0.158960246178479,0.0026409201942017
"9",9,0.257702,0.257702,3.126102,4.145684,7.78719,0.0330930669471273,0.401441598317236,0.0661861338942545,0.434534665264364,0.000494717981283679
"10",10,0,8.741798,10.521975,69.881355,89.145128,0,0.118031969172785,0.0980625435862294,0.118031969172785,0.00566336480366284
"11",11,0,4.286854,5.744758,25.851411,35.883023,0,0.160096823503416,0.119467470731215,0.160096823503416,0.00227963831637803
"12",12,0,0,3.830278,26.93431,30.764588,0,0.124502821230695,0,0.124502821230695,0.00195446558648037
"13",13,0,12.510183,10.391849,66.521155,89.423187,0,0.116209781250583,0.139898648434438,0.116209781250583,0.00568102981339777
"14",14,0.568752,2.304772,4.011028,10.96999,17.854542,0.0318547515808582,0.224650287865127,0.16094078470341,0.256505039445985,0.00113429401041771
"15",15,1.30433,6.468082,12.882596,43.329428,63.984436,0.0203851136548269,0.20133952575592,0.121473478331512,0.221724639410747,0.00406491314729637
"16",16,0,2.869988,1.921597,36.435898,41.227483,0,0.0466096123306873,0.0696134663374914,0.0466096123306873,0.00261917035068712
"17",17,2.163233,1.04447,3.281996,39.08678,45.576479,0.0474638025460457,0.0720107404523285,0.0703806671858087,0.119474542998374,0.00289546083823536
"18",18,0,1.295766,2.559921,25.056697,28.912384,0,0.0885406405780997,0.0448169891490096,0.0885406405780997,0.00183679558949744
"19",19,0,1.984446,4.130132,20.949352,27.06393,0,0.152606513540347,0.0733243841526342,0.152606513540347,0.00171936382895535
"20",20,0,2.058377,2.058377,56.85788,60.974634,0,0.0337579230077871,0.0337579230077871,0.0337579230077871,0.00387370127632576
"21",21,0,8.671853,10.450041,29.133761,48.255655,0,0.216555779835545,0.179706461346344,0.216555779835545,0.00306566813280807
"22",22,0.643759,0.643759,1.920991,23.603077,26.811586,0.0240104781567193,0.0716477943527846,0.0480209563134385,0.0956582725095039,0.00170333248590747
"23",23,0,1.16188,5.851789,27.316686,34.330355,0,0.170455242889274,0.0338441009421546,0.170455242889274,0.00218099775687405
"24",24,0,1.663985,2.656652,11.954934,16.275571,0,0.163229419109167,0.102238194899583,0.163229419109167,0.00103398242875276
"25",25,1.344243,4.074001,4.115273,43.51104,53.044557,0.0253417706928913,0.0775814378089726,0.102145145636714,0.102923208501864,0.00336990572428913
"26",26,0,0,11.32309,18.996045,30.319135,0,0.373463490960412,0,0.373463490960412,0.00192616608320426
"27",27,0,5.089368,3.923604,50.609472,59.622444,0,0.0658075002762383,0.0853599359328511,0.0658075002762383,0.00378779702753872
"28",28,0,0.931208,12.222284,31.235044,44.388536,0,0.275347760962425,0.0209785697820717,0.275347760962425,0.00281999115496834
"29",29,0,5.811432,18.394024,27.6804,51.885856,0,0.354509406185763,0.112004165451178,0.354509406185763,0.00329629377702299
"30",30,0,1.160859,5.823329,20.962081,27.946269,0,0.208375901627512,0.0415389617841294,0.208375901627512,0.00177541857641725
"31",31,3.422669,4.590974,8.054766,30.92739,46.995799,0.0728292543765454,0.171393319645443,0.170518283985341,0.244222574021989,0.00298562983696219
"32",32,0,1.349388,3.369494,22.27683,26.995712,0,0.124815896687592,0.0499852717350074,0.124815896687592,0.00171502995868286
"33",33,0,2.601862,0.659942,26.375314,29.637118,0,0.0222674148005889,0.0877906549482983,0.0222674148005889,0.00188283773582335
"34",34,0.395998,1.515757,3.495747,15.316785,20.724287,0.0191079191288945,0.168678758405536,0.0922470818899584,0.187786677534431,0.00131660809973605
"35",35,0,0.625348,2.491222,19.858586,22.975156,0,0.108431124472017,0.0272184441315654,0.108431124472017,0.00145960517156993
"36",36,0.323351,1.30874,0.646702,10.420078,12.698871,0.0254629722595024,0.0509259445190049,0.128522527711322,0.0763889167785073,0.000806755687956999
"37",37,1.413025,0,6.891029,49.99842,58.302474,0.0242361070303809,0.118194452605905,0.0242361070303809,0.142430559636286,0.00370393970625145
"38",38,0,9.179637,24.734416,90.524179,124.438232,0,0.198768622813606,0.073768622813606,0.198768622813606,0.00790552573258777
"39",39,0,0.198791,1.229234,6.507264,7.935289,0,0.154907275588829,0.0250515135617619,0.154907275588829,0.000504126668924553
"40",40,0,0,5.346834,16.079736,21.42657,0,0.249542227244025,0,0.249542227244025,0.00136122394037303
"41",41,0,0.944757,0.944757,28.158183,30.047697,0,0.0314419105064857,0.0314419105064857,0.0314419105064857,0.00190892170372929
"42",42,0,1.71309,1.130484,7.930752,10.774326,0,0.104923871804139,0.158997416636549,0.104923871804139,0.000684489887676076
"43",43,0,4.545313,1.446511,70.249597,76.241421,0,0.0189727707200001,0.0596173699333332,0.0189727707200001,0.00484359594247978
"44",44,0,1.163679,5.241326,22.090819,28.495824,0,0.183933126481972,0.0408368257748925,0.183933126481972,0.00181033165035077
"45",45,0.593378,2.938447,8.269368,12.394571,24.195764,0.0245240447873438,0.341769245228214,0.145968732378114,0.366293290015558,0.00153715005306103
"46",46,0,1.897729,6.674639,31.475466,40.047834,0,0.166666666666667,0.047386557784873,0.166666666666667,0.00254422758289754
"47",47,0,1.29977,2.59954,37.00708,40.90639,0,0.063548506724744,0.031774253362372,0.063548506724744,0.00259877140308672
"48",48,0,2.603524,6.524154,14.981771,24.109449,0,0.270605686592008,0.107987702249023,0.270605686592008,0.00153166648548987
"49",49,0.662612,3.975672,5.300208,21.198768,31.13726,0.0212803567173219,0.170220758024309,0.148962497021254,0.191501114741631,0.00197814133338278
"50",50,0,2.474938,4.815422,50.293023,57.583383,0,0.0836252013883936,0.0429800729144378,0.0836252013883936,0.00365825605812173
"51",51,0,3.488334,6.113589,18.484839,28.086762,0,0.217667988926598,0.124198510315999,0.217667988926598,0.00178434405702637
"52",52,5.276762,22.963622,30.023718,45.487804,103.751906,0.0508594222837699,0.28937991751207,0.272191471836672,0.340239339795839,0.00659132928446
"53",53,0,4.2696,4.338669,41.779306,50.387575,0,0.0861059298845003,0.0847351752887493,0.0861059298845003,0.00320110840826794
"54",54,0,1.237088,5.099124,17.190697,23.526909,0,0.216735823647722,0.0525818329981214,0.216735823647722,0.00149465788382264
"55",55,0,1.022652,2.034288,9.704178,12.761118,0,0.159412991871088,0.0801381195597439,0.159412991871088,0.000810710222285937
"56",56,0,2.956302,7.861165,38.904299,49.721766,0,0.158103093120224,0.0594568986145826,0.158103093120224,0.00315880975054923
"57",57,0.765559,2.328624,3.923636,30.94183,37.959649,0.0201677049226667,0.103363337211047,0.0815124238899048,0.123531042133714,0.00241156577963515
"58",58,0,0.818932,0.326744,5.922832,7.068508,0,0.0462253137437207,0.115856415526445,0.0462253137437207,0.000449060316808443
"59",59,1.899863,7.599452,7.657784,78.827695,95.984794,0.0197933747714247,0.0797812203462144,0.0989668738571237,0.0995745951176392,0.00609788685284548
"60",60,0,0,2.458194,62.285064,64.743258,0,0.037968339498763,0,0.037968339498763,0.00411312089463445
"61",61,0.713145,0.684577,8.956637,10.468631,20.82299,0.0342479634288832,0.430132127998909,0.0671239817144416,0.464380091427792,0.00132287867344835
"62",62,2.015295,1.955262,7.881081,67.259337,79.110975,0.0254742783792009,0.0996205772966393,0.0501897113516803,0.12509485567584,0.00502589789762207
"63",63,0,11.101281,6.226657,43.319845,60.647783,0,0.102669161047486,0.183045124666799,0.102669161047486,0.00385293652461166
"64",64,0,0.891111,0.945414,19.310664,21.147189,0,0.0447063673569097,0.0421385083379167,0.0447063673569097,0.00134347494435148
"65",65,0,23.06208,9.566121,75.505101,108.133302,0,0.0884660028230711,0.213274537755261,0.0884660028230711,0.00686967813485718
"66",66,0,1.272884,2.021942,6.900473,10.195299,0,0.198321010497093,0.124850090222955,0.198321010497093,0.000647704465906638
"67",67,0.823218,2.469654,6.819964,31.337391,41.450227,0.0198603978694737,0.164533815460166,0.0794415914778947,0.18439421332964,0.00263332121409523
